spp,Subfamily,Tribe,long_aquenio,anch_aquenio,area_aquenio,tipo_cerda,nr_cerdas,long_cerda_max,dispersion
Allocephalus_gamolepis,Cichorioideae,Vernonieae,2.033,1.402,2.071,5,10,6.2,viento
Amauria_rotundifolia,Asteroideae,Perityleae,2.43,0.448,0.939,0,0,0,ambiguo
Antennaria_dimorpha,Asteroideae,Gnaphalieae,3.517,0.795,2.483,3,16,10.64,viento
Antennaria_flagellaris,Asteroideae,Gnaphalieae,2.928,0.632,1.322,1,27,6.066,viento
Antennaria_linearifolia,Asteroideae,Gnaphalieae,1.052,0.433,0.349,3,20,3.804,viento
Anthemis_arvensis,Asteroideae,Anthemideae,1.974,1.027,1.587,0,0,0,ambiguo
Anthemis_tinctoria,Asteroideae,Anthemideae,1.604,0.849,1.21,8,1,0.208,ambiguo
Arctotis_semipapposa,Cichorioideae,Arctotideae,3.14,1.821,4.893,8,7,0.268,ambiguo
Artemisia_vulgaris,Asteroideae,Anthemideae,2.319,0.835,1.516,0,0,0,ambiguo
Barnadesia_arborea,Barnedesiodieae,Barnadesieae,2.22,2.16,4.34,1,18,10,viento
Belloa_schultzii,Asteroideae,Gnaphalieae,1.19,0.402,0.357,3,32,1.037,viento
Boltonia_diffusa,Asteroideae,Astereae,1.493,0.538,0.584,4,2,0.805,ambiguo
Brachyglottis_repanda,Asteroideae,Senecioneae,0.909,0.243,0.22,3,26,3.01,viento
Cacaliopsis_nardosmia,Asteroideae,Senecioneae,6.788,1.717,9.979,3,34,12.413,viento
Calea_candollena,Asteroideae,Heliantheae,2.782,0.878,2.055,5,13,0.883,viento
Calendula_arvensis,Asteroideae,Calenduleae,3.686,2.898,7.22,0,0,0,ambiguo
Carthamus_lanatus,Carduoideae,Cardueae,4.771,2.95,12.301,5,31,8.135,ambiguo
Carthamus_tinctorius,Carduoideae,Cardueae,6.2,4.218,19.995,1,14,6.54,ambiguo
Cassinia_aculeata,Asteroideae,Gnaphalieae,0.946,0.401,0.302,3,22,2.801,viento
Centaurea_benedicta,Carduoideae,Cardueae,7.621,2.155,15.457,1,20,7.975,mirmecocoria
Centratherum_punctatum,Cichorioideae,Vernonieae,3.134,1.702,4.125,0,0,0,ambiguo
Chaenactis_douglasii,Asteroideae,Chaenactidae,5.872,0.661,3.245,5,12,4.357,viento
Chaetanthera_sp,Mutisioideae,Mutisieae,10.223,2.473,21.206,3,20,11.447,viento
Chiliotrichium_diffusum,Asteroideae,Astereae,5.502,1.062,4.577,1,60,4.95,viento
Chrysogonum_australe,Asteroideae,Heliantheae,5.865,2.95,10.866,8,1,0.749,ambiguo
Chrysothanmnus_nauseosus,Asteroideae,Astereae,4.709,0.78,3.498,1,36,7.76,viento
Chuquiraga_sp,Barnadesioideae,Barnadesieae,3.685,0.622,2.258,2,22,11.819,viento
Cichorium_intybus,Cichorioideae,Cichorieae,1.734,1.125,1.628,8,12,0.378,ambiguo
Conyza_canadensis,Asteroideae,Astereae,1.929,0.61,0.902,3,16,2.597,viento
Conyza_sumatrensis,Asteroideae,Astereae,1.157,0.394,0.352,3,18,2.549,viento
Corymbium_glabrum,Corymbioideae,Corymbieae,7.49,1.339,8.561,1,50,2.09,viento
Craspedia_variabilis,Asteroideae,Gnaphalieae,2.264,1.134,1.758,2,18,4.414,viento
Cyclolepis_genistoides,Gochnatoideae,Gochnatieae,2.783,0.637,1.449,3,29,8.534,viento
Cynara_cardunculus,Carduoideae,Cardueae,5.72,2.77,12.068,2,35,24.487,viento
Cyrtocymura_scorpioides,Cichorioideae,Vernonieae,0.976,0.586,0.503,3,40,5.376,viento
Dasyphyllum_reticulatum,Barnedesiodieae,Barnadesieae,8.138,3.479,20.792,2,23,16.354,viento
Deinandra_minthornii,Asteroideae,Madieae,2.124,0.675,1.038,5,10,1.529,ambiguo
Didelta_spinosa,Cichorioideae,Arctotideae,3.516,2.057,5.21,8,17,1.348,ambiguo
Disparago_ericoides,Asteroideae,Gnaphalieae,0.902,0.499,0.405,2,18,3.022,viento
Dolichlasium_sp,Mutisioideae,Nassauvieae,7.623,1.146,6.6,3,19,14.43,viento
Echinops_strigosus,Carduoideae,Cardueae,15.55,5.03,62.023,4,30,2.277,ambiguo
Elephantopus_tomentosus,Cichorioideae,Vernonieae,2.744,0.687,1.376,5,6,4.705,ambiguo
Erato_polymnoides,Cichorioideae,Liabeae,1.47,0.572,0.324,1,30,5.004,viento
Eremanthus_incanus,Cichorioideae,Vernonieae,2.847,1.076,2.563,1,21,4.41,viento
Eremothamnus_marlothianus,Cichorioideae,Eremothamneae,4,1.286,4.043,3,38,5.888,viento
Ericameria_ericoides,Asteroideae,Astereae,1.945,0.706,0.825,3,14,6.79,viento
Erigeron_speciosus,Asteroideae,Astereae,1.771,0.655,0.953,3,25,3.964,viento
Eriophyllum_lanatum,Asteroideae,Madieae,2.875,0.581,1.393,8,9,0.785,ambiguo
Eurybia_compacta,Asteroideae,Astereae,2.059,0.733,1.309,1,27,6.242,viento
Euthamia_caroliniana,Asteroideae,Astereae,1.473,0.63,0.731,3,25,2.964,viento
