,spp,Subfamily,Tribe,long_aquenio,anch_aquenio,area_aquenio,pappus_type,nr_cerdas,long_cerda_max,dispersion,area,vol,PL,log_PL,loglog_PL,sqrt_PL
Antennaria-flagellaris,Antennaria_flagellaris,Asteroideae,Gnaphalieae,2.928,0.632,1.322,Setose,27,6.066,viento,115.599161688475,0.459266866488686,0.003972925576477,-5.52825253464917,-0.16381110443226,0.063031147669042
Antennaria-dimorpha,Antennaria_dimorpha,Asteroideae,Gnaphalieae,3.517,0.795,2.483,Setose,16,10.64,viento,355.658447675839,0.872904055718107,0.00245433241127,-6.00990048495177,-0.023141012166007,0.049541219315532
Gamochaetopsis-alpina,Gamochaetopsis_alpina,Asteroideae,Gnaphalieae,1.065,0.389,0.335,Setose,23,2.756,viento,23.8620800976768,0.063286152894945,0.00265216411858,-5.9323793237394,-0.87006175618913,0.051499166193051
Luciliocline-subspicata,Luciliocline_subspicata,Asteroideae,Gnaphalieae,1.428,0.463,0.512,Setose,34,1.203,viento,4.54654116260903,0.120212623486994,0.026440455841813,-3.63286002353407,-1.39893007897723,0.162605214682103
Facelis-lasiocarpa,Facelis_lasiocarpa,Asteroideae,Gnaphalieae,1.018,0.35,0.291,Setose,24,4.16,viento,54.3671458259635,0.048971538983239,0.000900756111971,-7.01227602293455,-0.754929214803825,0.030012599220513
Gnaphalium-americanum,Gnaphalium_americanum,Asteroideae,Gnaphalieae,0.638,0.276,0.134,Setose,9,2.683,viento,22.6147201593469,0.019085288467894,0.000843932104798,-7.07743851115603,-1.2694273605074,0.029050509544554
Belloa-schultzii,Belloa_schultzii,Asteroideae,Gnaphalieae,1.19,0.402,0.357,Setose,32,1.037,viento,3.3783713502982,0.07551947345462,0.022353809983788,-3.80075850337747,-2.12204529440246,0.149511905826218
Antennaria-linearifolia,Antennaria_linearifolia,Asteroideae,Gnaphalieae,1.052,0.433,0.349,Setose,20,3.804,viento,45.4601525999882,0.0774553495513,0.001703807509457,-6.37488982088963,-0.670202629761911,0.041277203265931
Leontopodium-alpinum,Leontopodium_alpinum,Asteroideae,Gnaphalieae,0.672,0.287,0.121,Setose,29,5.912,viento,109.804142180551,0.021736667003817,0.000197958533734,-8.52745297478637,-0.814854351933056,0.014069773762729
Craspedia-variabilis,Craspedia_variabilis,Asteroideae,Gnaphalieae,2.264,1.134,1.758,Setose,18,4.414,viento,61.2088937405808,1.14330582805044,0.018678753303861,-3.98036858803062,0.032550897880745,0.136670235617933
Trichanthodium-skirrophorum,Trichanthodium_skirrophorum,Asteroideae,Gnaphalieae,1.302,0.64,0.58,Coroniform,4,0.953,ambiguo,2.85322272232413,0.209426106110664,0.073399842617295,-2.61183348754251,-1.49113982983134,0.270924053227643
Cassinia-aculeata,Cassinia_aculeata,Asteroideae,Gnaphalieae,0.946,0.401,0.302,Setose,22,2.801,viento,24.6476824645967,0.05973649916428,0.002423615242842,-6.02249495157435,-0.879279533251848,0.049230226922509
Pseudognaphalium-obtusifolium,Pseudognaphalium_obtusifolium,Asteroideae,Gnaphalieae,0.636,0.249,0.151,Setose,22,3.573,viento,40.1066053997103,0.01548515994616,0.000386099989097,-7.85941418293261,-1.12903339935588,0.01964942719514
Helichrysum-stoechas,Helichrysum_stoechas,Asteroideae,Gnaphalieae,0.85,0.4,0.34,Setose,NA,3.75,viento,44.1786466911065,0.053407075111027,0.001208888886153,-6.7180536171541,-0.773396309719318,0.034769079455064
Disparago-ericoides,Disparago_ericoides,Asteroideae,Gnaphalieae,0.902,0.499,0.405,Setose,18,3.022,viento,28.6905446434263,0.088199782565942,0.003074175947327,-5.78471839824715,-0.723402909831853,0.055445251801455
Phagnalon-sordidum,Phagnalon_sordidum,Asteroideae,Gnaphalieae,0.85,0.214,0.157,Setose,28,7,viento,153.9380400259,0.015286440073654,9.93025509559E-05,-9.21733929785842,-0.830089835305159,0.00996506653043
Lessingia-filaginifolia,Lessingia_filaginifolia,Asteroideae,Astereae,2.721,0.877,2.093,Setose,29,6.787,viento,144.712341649996,0.821840641713382,0.005679133042662,-5.1709566912329,-0.039440947024105,0.075360022841437
Haplopappus-sp,Haplopappus_sp,Asteroideae,Astereae,3.517,1.18,3.368,Setose,40,7.652,viento,183.950001371279,1.92307520617364,0.01045433645443,-4.56073841493248,0.125401286818694,0.102246449593274
Eurybia-compacta,Eurybia_compacta,Asteroideae,Astereae,2.059,0.733,1.309,Setose,27,6.242,viento,122.404504827422,0.434434374731154,0.003549169820087,-5.64104155633929,-0.173424786380799,0.059574909316653
Symphyotrichum-novae-angliae,Symphyotrichum_novae-angliae,Asteroideae,Astereae,2.948,0.642,1.531,Setose,25,5.459,viento,93.6216005015729,0.477152738863737,0.005096609498211,-5.27917976460447,-0.163004200570733,0.071390542078146
