spp,B_SV,S_long_aq,S_ancho_aq,S_area_aq,S_long_cerda_max
Aster_exilis,0.631,2.122,0.477,0.748,4.602
Centaurea_solstitialis,1.425,2.649,1.09,2.536,3.7
Chrysopsis_villosa,0.423,2.703,0.741,1.442,6.117
Conyza_bonariensis,0.397,1.544,0.317,0.403,2.02
Conyza_canadensis,0.278,1.929,0.61,0.902,2.597
Corethrogyne_filaginifolia,0.497,2.816,0.884,2.147,6.633
Cynara_cardunculus,0.786,7.68,3.125,10.06,25.096
Erigeron_tener,1.129,2.765,0.511,1.17,3.975
Hypochaeris_glabra,0.517,2.854,0.351,0.85,9
Hypochaeris_radicata,0.427,2.412,0.285,0.582,5.198
Picris_echioides,0.953,3.136,0.801,2.024,5.191
Senecio_canus,0.451,3.851,0.808,2.752,7.601
Senecio_vulgaris,0.347,2.753,0.571,1.291,6.258
Sonchus_oleraceus,0.282,2.498,0.669,1.349,7
Taraxacum_laevigatum,0.448,2.5,1.029,2.776,4.449
Taraxacum_officinale,0.659,2.774,0.877,2.13,5.164
Tragopogon_dubius,0.332,12.772,1.842,17.537,32.372
Carduus_nutans,0.35,3.582,1.484,4.66,15.748
Carduus_acanthoides,0.39,2.609,1.327,3.025,14.351
Senecio_inaequidens,0.309,1.495,0.479,0.604,3.281
Ericameria_nauseosa ,0.76,4.836,0.801,3.175,5.423
Cirsium_japonicum,0.315,3.505,1.352,3.749,14.962
Syneilesis_aconitifolia,1.305,5.206,1.473,6.263,8.996
Hypochaeris_salzmanniana c/ rostro,0.44,5.756,0.744,3.16,16.176
Hypochaeris_salzmanniana,0.6,5.175,0.892,3.578,13.962
Cirsium_arvense,0.515,1.957,0.511,0.815,13.889
Symphyotrichum_prenanthoides,0.66,2.523,0.667,1.225,4.46
Ageratina altissima,0.45,1.67,0.535,0.724,3.11
Oclemena_acuminata,0.41,2.606,0.635,2.606,6.775
Tragopogan_porrifolius ,0.33,12.65,2.126,24.179,28.64
Cirsium_vulgare,0.36,4.055,1.599,5.532,25.895
Eupatorium_cannabinum,0.32,2.699,0.516,1.22,4.317
